,Gas (corrected)
2020-03-09 00:00:00,0.2371841729587744
2020-03-09 00:30:00,0.223706457636538
2020-03-09 01:00:00,0.2165525083358917
2020-03-09 01:30:00,0.21515322047801302
2020-03-09 02:00:00,0.22055926165285183
2020-03-09 02:30:00,0.22593700219903476
2020-03-09 03:00:00,0.2395797280092496
2020-03-09 03:30:00,0.2568418625350106
2020-03-09 04:00:00,0.3039196207487075
2020-03-09 04:30:00,0.3824880663622176
2020-03-09 05:00:00,0.5925268596097588
2020-03-09 05:30:00,0.8672499734290009
2020-03-09 06:00:00,1.3263399090150467
2020-03-09 06:30:00,1.6058723879208991
2020-03-09 07:00:00,1.6296936792171386
2020-03-09 07:30:00,1.4268035694089958
2020-03-09 08:00:00,1.1514859085882068
2020-03-09 08:30:00,0.8851138430656708
2020-03-09 09:00:00,0.7308244244215002
2020-03-09 09:30:00,0.6465796837272422
2020-03-09 10:00:00,0.5918297283228288
2020-03-09 10:30:00,0.557868101577932
2020-03-09 11:00:00,0.548417674323746
2020-03-09 11:30:00,0.5658171327749754
2020-03-09 12:00:00,0.6220900210593038
2020-03-09 12:30:00,0.6290340003228638
2020-03-09 13:00:00,0.6496030987821715
2020-03-09 13:30:00,0.6725655074231847
2020-03-09 14:00:00,0.7424362707525316
2020-03-09 14:30:00,0.8177526408414333
2020-03-09 15:00:00,0.983861955426022
2020-03-09 15:30:00,1.1646225948419326
2020-03-09 16:00:00,1.423737757628017
2020-03-09 16:30:00,1.6022339834658208
2020-03-09 17:00:00,1.7149670071626169
2020-03-09 17:30:00,1.6919266244348425
2020-03-09 18:00:00,1.7033988450696855
2020-03-09 18:30:00,1.6351666992900562
2020-03-09 19:00:00,1.5386643364649044
2020-03-09 19:30:00,1.4448946434869
2020-03-09 20:00:00,1.3270578449252515
2020-03-09 20:30:00,1.1931944823268466
2020-03-09 21:00:00,1.0185010242918004
2020-03-09 21:30:00,0.8463063563700737
2020-03-09 22:00:00,0.6301331647241732
2020-03-09 22:30:00,0.44690702871632776
2020-03-09 23:00:00,0.3240375595295287
2020-03-09 23:30:00,0.25816417980667333
2020-03-10 00:00:00,0.22876868471857728
2020-03-10 00:30:00,0.2080714163706458
2020-03-10 01:00:00,0.19782657918170052
2020-03-10 01:30:00,0.18966992443198308
2020-03-10 02:00:00,0.19448269323056805
2020-03-10 02:30:00,0.19514832798177575
2020-03-10 03:00:00,0.20115517707247996
2020-03-10 03:30:00,0.2120980552163065
2020-03-10 04:00:00,0.25595332096190915
2020-03-10 04:30:00,0.3300868872585163
2020-03-10 05:00:00,0.5406745585863576
2020-03-10 05:30:00,0.8115511909529344
