,Mean kWh
2020-03-09 00:00:00,0.19552797258999194
2020-03-09 00:30:00,0.20116728423261088
2020-03-09 01:00:00,0.19110453784071876
2020-03-09 01:30:00,0.18153578498553372
2020-03-09 02:00:00,0.17340589310187293
2020-03-09 02:30:00,0.16550386613200688
2020-03-09 03:00:00,0.15742347258176412
2020-03-09 03:30:00,0.15129452819653838
2020-03-09 04:00:00,0.1467186098844391
2020-03-09 04:30:00,0.14243701673349923
2020-03-09 05:00:00,0.1511061536639426
2020-03-09 05:30:00,0.16436687646989157
2020-03-09 06:00:00,0.19854130077999427
2020-03-09 06:30:00,0.2368991167961018
2020-03-09 07:00:00,0.26059586653807754
2020-03-09 07:30:00,0.268147496742974
2020-03-09 08:00:00,0.2534927457764768
2020-03-09 08:30:00,0.23282843655621072
2020-03-09 09:00:00,0.22752383530586176
2020-03-09 09:30:00,0.22333945536220368
2020-03-09 10:00:00,0.2193218591115585
2020-03-09 10:30:00,0.2164083599110035
2020-03-09 11:00:00,0.21591584254739565
2020-03-09 11:30:00,0.2178831212777477
2020-03-09 12:00:00,0.22545655962371414
2020-03-09 12:30:00,0.2278079418656786
2020-03-09 13:00:00,0.22743958581833867
2020-03-09 13:30:00,0.22512350159463324
2020-03-09 14:00:00,0.22730721011090518
2020-03-09 14:30:00,0.23019012934717306
2020-03-09 15:00:00,0.23803909177812174
2020-03-09 15:30:00,0.26665980593694205
2020-03-09 16:00:00,0.30460160393878616
2020-03-09 16:30:00,0.34145194528335426
2020-03-09 17:00:00,0.3829543689566784
2020-03-09 17:30:00,0.4124503802586941
2020-03-09 18:00:00,0.4307822180864563
2020-03-09 18:30:00,0.429916106928348
2020-03-09 19:00:00,0.4142750951696132
2020-03-09 19:30:00,0.3936688435834532
2020-03-09 20:00:00,0.37216519752981986
2020-03-09 20:30:00,0.34943457406310785
2020-03-09 21:00:00,0.32376715167921505
2020-03-09 21:30:00,0.2944258438372388
2020-03-09 22:00:00,0.26358747990863707
2020-03-09 22:30:00,0.2285569410371374
2020-03-09 23:00:00,0.1959434650198799
2020-03-09 23:30:00,0.17248885035107017
2020-03-10 00:00:00,0.1950102501059772
2020-03-10 00:30:00,0.20341067401441282
2020-03-10 01:00:00,0.1943888935989827
2020-03-10 01:30:00,0.18516504451038576
2020-03-10 02:00:00,0.17746250953793988
2020-03-10 02:30:00,0.16852200084781685
2020-03-10 03:00:00,0.15946724883425187
2020-03-10 03:30:00,0.15131036032217035
2020-03-10 04:00:00,0.14551342941924558
2020-03-10 04:30:00,0.1404166765578635
2020-03-10 05:00:00,0.14700089020771526
2020-03-10 05:30:00,0.15935654938533284
2020-03-10 06:00:00,0.1918538618058499
2020-03-10 06:30:00,0.2280562441712589
2020-03-10 07:00:00,0.2535199491309877
2020-03-10 07:30:00,0.259078423060619
2020-03-10 08:00:00,0.24314406104281486
2020-03-10 08:30:00,0.22436046629927922
2020-03-10 09:00:00,0.21890665852790073
2020-03-10 09:30:00,0.21482048934330333
2020-03-10 10:00:00,0.21218559777540405
2020-03-10 10:30:00,0.20981120606338075
2020-03-10 11:00:00,0.20800989368736958
2020-03-10 11:30:00,0.2098543160893229
2020-03-10 12:00:00,0.21606687352696816
2020-03-10 12:30:00,0.2154876731607237
2020-03-10 13:00:00,0.21383687708767826
2020-03-10 13:30:00,0.21005271546535084
2020-03-10 14:00:00,0.20869708530444064
2020-03-10 14:30:00,0.20778928226257695
2020-03-10 15:00:00,0.2133989351781203
2020-03-10 15:30:00,0.23509885209488438
2020-03-10 16:00:00,0.2686416399613409
2020-03-10 16:30:00,0.3045791155874324
2020-03-10 17:00:00,0.3435018481781032
2020-03-10 17:30:00,0.3726851569255812
2020-03-10 18:00:00,0.3982160248910594
2020-03-10 18:30:00,0.40925046204452603
2020-03-10 19:00:00,0.39796496939484893
2020-03-10 19:30:00,0.3795562931312206
2020-03-10 20:00:00,0.35949420541732
2020-03-10 20:30:00,0.3384742062651012
2020-03-10 21:00:00,0.3159378067907253
2020-03-10 21:30:00,0.28971639184434733
2020-03-10 22:00:00,0.2586590988088677
2020-03-10 22:30:00,0.22424213471239018
2020-03-10 23:00:00,0.19397609257767798
2020-03-10 23:30:00,0.17081259961341522
2020-03-11 00:00:00,0.1919952264672467
2020-03-11 00:30:00,0.1997522680639637
2020-03-11 01:00:00,0.1901495735191875
2020-03-11 01:30:00,0.18123007919146705
2020-03-11 02:00:00,0.17268285258856056
2020-03-11 02:30:00,0.1643655695172204
2020-03-11 03:00:00,0.1555170168387852
2020-03-11 03:30:00,0.1484775398077022
2020-03-11 04:00:00,0.14321589425310752
2020-03-11 04:30:00,0.1391444862729139
2020-03-11 05:00:00,0.14686883383357927
2020-03-11 05:30:00,0.15942938054297873
2020-03-11 06:00:00,0.19329236404334343
2020-03-11 06:30:00,0.2288965008521066
2020-03-11 07:00:00,0.2526948017262576
2020-03-11 07:30:00,0.25891370407739345
2020-03-11 08:00:00,0.2435371401924626
2020-03-11 08:30:00,0.22340527868685683
2020-03-11 09:00:00,0.21761077103081075
2020-03-11 09:30:00,0.2135435792650875
2020-03-11 10:00:00,0.20810361521374185
2020-03-11 10:30:00,0.20288873721872716
2020-03-11 11:00:00,0.20257589914028445
2020-03-11 11:30:00,0.20380008648025366
2020-03-11 12:00:00,0.20893234191918336
2020-03-11 12:30:00,0.20813356112119105
2020-03-11 13:00:00,0.20546417004391848
2020-03-11 13:30:00,0.2033087005917962
2020-03-11 14:00:00,0.2029038042510618
2020-03-11 14:30:00,0.20381239031090237
2020-03-11 15:00:00,0.2091445140614006
