,Electricity,Gas (corrected)
2020-04-06 02:30:00,0.1372306469509652,0.0982335884564219
2020-04-06 03:00:00,0.1311275637347002,0.10501708332341735
2020-04-06 03:30:00,0.12718845495516723,0.1090642479799777
2020-04-06 04:00:00,0.12347159304806134,0.13530514042241412
2020-04-06 04:30:00,0.11946924818450319,0.17182081121670198
2020-04-06 05:00:00,0.1222124216791981,0.2858120936254724
2020-04-06 05:30:00,0.12633282947345353,0.4426784957477038
2020-04-06 06:00:00,0.14079169962641283,0.7216454395531683
2020-04-06 06:30:00,0.15463124794411118,0.8932154534407126
2020-04-06 07:00:00,0.17224758973395046,0.928004108214555
2020-04-06 07:30:00,0.19013323621782074,0.8603393856828628
2020-04-06 08:00:00,0.20399283381499486,0.7693296659167705
2020-04-06 08:30:00,0.22070739252680455,0.6561349743277144
2020-04-06 09:00:00,0.23317833731448476,0.5611873360313653
2020-04-06 09:30:00,0.24175307984493088,0.5099088939034505
2020-04-06 10:00:00,0.24869689470180528,0.47952858387551595
2020-04-06 10:30:00,0.2537893331244859,0.45528522750630157
2020-04-06 11:00:00,0.25637024709245404,0.4386577538134062
2020-04-06 11:30:00,0.2633878920781612,0.4275015725968204
2020-04-06 12:00:00,0.27704377178211986,0.45641435545735143
2020-04-06 12:30:00,0.28011851132483295,0.4204990244683291
2020-04-06 13:00:00,0.2742844600733059,0.40033030609007375
2020-04-06 13:30:00,0.26293344506751054,0.37392140801975216
2020-04-06 14:00:00,0.255579101531907,0.3596793585440777
2020-04-06 14:30:00,0.24951517026408948,0.3478297920743831
2020-04-06 15:00:00,0.2478067666523085,0.38671136166419984
2020-04-06 15:30:00,0.25160967529721334,0.41505587335082905
2020-04-06 16:00:00,0.26906024936171546,0.5642018370610887
2020-04-06 16:30:00,0.29922033739016013,0.6668653613034289
2020-04-06 17:00:00,0.3314507776890182,0.769345583768188
2020-04-06 17:30:00,0.3506570963143962,0.755053144628247
2020-04-06 18:00:00,0.355047616809987,0.8185187692108209
2020-04-06 18:30:00,0.3490841909058159,0.811792449504818
2020-04-06 19:00:00,0.33888809266481834,0.8361967627562663
2020-04-06 19:30:00,0.3278632896323795,0.8526836274985701
2020-04-06 20:00:00,0.3246700421346114,0.8672005734305275
2020-04-06 20:30:00,0.31261986435474526,0.7779519634410333
2020-04-06 21:00:00,0.29310384067164774,0.6654971046594862
2020-04-06 21:30:00,0.2688139185188667,0.558082407322504
2020-04-06 22:00:00,0.24752078536409627,0.443042857971172
2020-04-06 22:30:00,0.2218927368701346,0.3317647274856795
2020-04-06 23:00:00,0.1941652177999154,0.24408569258776922
2020-04-06 23:30:00,0.1716185251319644,0.19461808252360702
2020-04-07 00:00:00,0.15513768933164168,0.16947870671408563
2020-04-07 00:30:00,0.14985464342214494,0.14946145943985845
2020-04-07 01:00:00,0.1670635145500368,0.14367060065082396
2020-04-07 01:30:00,0.15577627850914955,0.1406759504787028
2020-04-07 02:00:00,0.14795259302161767,0.13879108758997408
2020-04-07 02:30:00,0.1395167337163252,0.14300911143709685
2020-04-07 03:00:00,0.13440339054685488,0.1544618965982432
2020-04-07 03:30:00,0.1302924340019881,0.16497121643596407
2020-04-07 04:00:00,0.12726849235730117,0.20052281431508837
